,Instrument,ESG Controversies Score Grade,ESG Controversies Score,Date,,TR.TRESGCCONTROVERSIESSCOREGRADE,TR.TRESGCCONTROVERSIESSCORE,TR.TRESGCCONTROVERSIESSCORE.DATE
9,DWNG.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
10,DWNG.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,EONGn.DE,A+,100.0,2022-12-31T00:00:00Z,,,,
1,EONGn.DE,B,62.5,2021-12-31T00:00:00Z,,,,
2,EONGn.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
3,EONGn.DE,A+,95.4545454545454,2019-12-31T00:00:00Z,,,,
4,EONGn.DE,B+,66.6666666666666,2018-12-31T00:00:00Z,,,,
5,EONGn.DE,B+,72.7272727272727,2017-12-31T00:00:00Z,,,,
6,EONGn.DE,B-,56.25,2016-12-31T00:00:00Z,,,,
7,EONGn.DE,B-,57.1428571428571,2015-12-31T00:00:00Z,,,,
8,EONGn.DE,B+,70.0,2014-12-31T00:00:00Z,,,,
9,EONGn.DE,A,85.0,2013-12-31T00:00:00Z,,,,
10,EONGn.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
0,FMEG.DE,A+,100.0,2022-12-31T00:00:00Z,,,,
1,FMEG.DE,A-,76.5625,2021-12-31T00:00:00Z,,,,
2,FMEG.DE,B,59.0909090909091,2020-12-31T00:00:00Z,,,,
3,FMEG.DE,A,88.8888888888888,2019-12-31T00:00:00Z,,,,
4,FMEG.DE,A,88.4615384615384,2018-12-31T00:00:00Z,,,,
5,FMEG.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
6,FMEG.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
7,FMEG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
8,FMEG.DE,B,61.5384615384615,2014-12-31T00:00:00Z,,,,
9,FMEG.DE,A+,92.8571428571428,2013-12-31T00:00:00Z,,,,
10,FMEG.DE,A+,96.1538461538461,2012-12-31T00:00:00Z,,,,
0,FREG.DE,A-,76.5625,2021-12-31T00:00:00Z,,,,
1,FREG.DE,D+,25.0,2020-12-31T00:00:00Z,,,,
2,FREG.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,FREG.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,FREG.DE,A+,94.4444444444444,2017-12-31T00:00:00Z,,,,
5,FREG.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
6,FREG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,FREG.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
8,FREG.DE,A+,100.0,2013-12-31T00:00:00Z,,,,
9,FREG.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
10,FREG.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,HEIG.DE,A+,100.0,2021-12-31T00:00:00Z,,,,
1,HEIG.DE,D+,16.6666666666666,2020-12-31T00:00:00Z,,,,
2,HEIG.DE,A,86.3636363636363,2019-12-31T00:00:00Z,,,,
3,HEIG.DE,A-,77.7777777777777,2018-12-31T00:00:00Z,,,,
4,HEIG.DE,A+,91.6666666666666,2017-12-31T00:00:00Z,,,,
5,HEIG.DE,A,83.3333333333333,2016-12-31T00:00:00Z,,,,
6,HEIG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,HEIG.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
8,HEIG.DE,C-,27.7777777777777,2013-12-31T00:00:00Z,,,,
9,HEIG.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
10,HEIG.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,HFGG.DE,C-,30.8823529411764,2021-12-31T00:00:00Z,,,,
1,HFGG.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,HFGG.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,HFGG.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
0,HNKG.DE,B,60.0,2022-12-31T00:00:00Z,,,,
1,HNKG.DE,B,64.4230769230769,2021-12-31T00:00:00Z,,,,
2,HNKG.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
3,HNKG.DE,C+,42.8571428571428,2019-12-31T00:00:00Z,,,,
4,HNKG.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
5,HNKG.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
6,HNKG.DE,A,90.0,2016-12-31T00:00:00Z,,,,
7,HNKG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
8,HNKG.DE,A-,82.6923076923076,2014-12-31T00:00:00Z,,,,
